co_ppm,o3_ppb,no2_ppb,temperature,humidity,pm1,pm25,pm10,pm1_label,pm25_label,pm10_label,no2_label,o3_label,co_label,temperature_label,humidity_label,label_sum,risk_label
3.663211,10.0,8.945597,29.8,55,20,29,29,1,0,0,0,0,1,1,0,3,0
3.668492,10.0,8.976951,29.8,55,19,29,29,1,0,0,0,0,1,1,0,3,0
3.727135,10.0,8.836679,29.8,55,19,29,29,1,0,0,0,0,1,1,0,3,0
3.668492,10.0,8.914349,29.9,55,20,27,30,1,0,0,0,0,1,1,0,3,0
3.668492,10.0,8.457853,29.9,55,21,30,33,1,1,0,0,0,1,1,0,4,1
3.689696,10.0,8.369247,29.9,54,21,30,33,1,1,0,0,0,1,1,0,4,1
3.721761,10.0,8.223506,29.9,54,20,30,33,1,1,0,0,0,1,1,0,4,1
3.748721,10.0,8.137208,29.9,54,19,29,32,1,0,0,0,0,1,1,0,3,0
3.748721,10.0,8.137208,29.9,54,19,29,32,1,0,0,0,0,1,1,0,3,0
3.781363,10.0,8.037601,29.9,54,20,29,30,1,0,0,0,0,1,1,0,3,0
3.797805,10.0,7.995262,29.9,54,19,28,29,1,0,0,0,0,1,1,0,3,0
3.825386,10.0,8.009352,30.0,54,19,29,30,1,0,0,0,0,1,1,0,3,0
3.83093,10.0,7.911207,30.0,54,20,30,30,1,1,0,0,0,1,1,0,4,1
3.814327,10.0,8.037601,30.0,54,19,29,29,1,0,0,0,0,1,1,0,3,0
3.825386,10.0,8.009352,30.0,54,19,29,29,1,0,0,0,0,1,1,0,3,0
3.847616,10.0,7.855629,30.0,54,21,29,30,1,0,0,0,0,1,1,0,3,0
3.83093,10.0,7.995262,30.1,54,21,29,30,1,0,0,0,0,1,1,0,3,0
3.858784,10.0,7.841792,30.1,54,21,29,30,1,0,0,0,0,1,1,0,3,0
3.825386,10.0,7.995262,30.1,54,20,28,30,1,0,0,0,0,1,1,0,3,0
3.836483,10.0,7.855629,30.1,54,20,28,30,1,0,0,0,0,1,1,0,3,0
3.853196,10.0,7.583144,30.1,54,18,26,27,1,0,0,0,0,1,1,0,3,0
3.836483,10.0,7.897277,30.1,54,19,27,28,1,0,0,0,0,1,1,0,3,0
3.847616,10.0,7.827978,30.1,54,20,27,28,1,0,0,0,0,1,1,0,3,0
3.842045,10.0,7.841792,30.1,54,19,26,27,1,0,0,0,0,1,1,0,3,0
3.836483,10.0,7.897277,30.1,54,19,27,27,1,0,0,0,0,1,1,0,3,0
3.842045,10.0,7.925158,30.1,54,19,27,27,1,0,0,0,0,1,1,0,3,0
3.853196,10.0,7.772944,30.1,54,20,29,29,1,0,0,0,0,1,1,0,3,0
3.864383,10.0,7.814186,30.2,54,20,29,29,1,0,0,0,0,1,1,0,3,0
3.836483,10.0,7.476625,30.2,54,20,30,30,1,1,0,0,0,1,1,0,4,1
3.869991,10.0,7.800416,30.2,54,19,29,29,1,0,0,0,0,1,1,0,3,0
3.836483,10.0,7.569753,30.2,54,19,29,31,1,0,0,0,0,1,1,0,3,0
3.853196,10.0,7.786668,30.2,54,20,30,31,1,1,0,0,0,1,1,0,4,1
3.842045,10.0,7.855629,30.2,54,20,30,31,1,1,0,0,0,1,1,0,4,1
3.836483,10.0,7.897277,30.2,54,21,30,32,1,1,0,0,0,1,1,0,4,1
3.825386,10.0,7.925158,30.3,54,22,30,32,1,1,0,0,0,1,1,0,4,1
3.825386,10.0,7.925158,30.3,54,21,30,31,1,1,0,0,0,1,1,0,4,1
3.836483,10.0,7.897277,30.3,54,21,30,31,1,1,0,0,0,1,1,0,4,1
